name,description,address,City,State,geo_longitude,geo_latitude,geo_accuracy,website,moreInfoUrl,href,region,phone
Bullfight,"Few local restaurants are as sexy as Shawn Cirkiel’s Bullfight. Maybe it’s the lighting, or the almost encyclopedic selection of sherries (nerds are sexy too), or the indoor-outdoor space. But we always have our rom-com moment when we bite into tapas like branzino crudo or veal sweetbreads a la plancha. We don’t even need a date.",4807 Airport,Austin,Texas,,,,http://www.bullfight-austin.com,http://www.austinchronicle.com/locations/bullfight-1669856/,http://www.austinchronicle.com/food/first-plates/2016/bullfight/,Midtown,512/474-2029
Barlata Tapas Bar,"Bringing authentic Spanish tapas by way of San Francisco, husband-and-wife team Daniel Olivella and Vanessa Jerez should be kissed for bringing this gem to South Lamar. What more could a person want than to be able to pick an assortment of small plates bursting with flavor, from squid ink paellas to traditional latas? Oh yes, to wash it all down with house-made sangria. Barlata’s got it all.",1500 S. Lamar,Austin,Texas,,,,http://www.barlataaustin.com,http://www.austinchronicle.com/locations/barlata-tapas-bar-1478684/,http://www.austinchronicle.com/food/first-plates/2016/barlata-tapas-bar/,SouthLamarandBartonSprings,512/473-2211
Barley Swine,"We were sad to see the intimate space on South Lamar close, but it didn’t take us long to warm up to the kitchen views, cozy tables, and full bar of the new location. The menu keeps on evolving too, as happens when you have one of the best kitchen teams in all of Austin.",6555 Burnet Rd. #400,Austin,Texas,,,,http://www.barleyswine.com,http://www.austinchronicle.com/locations/barley-swine-1142558/,http://www.austinchronicle.com/food/first-plates/2016/barley-swine/,Midtown,512/394-8150
Fukumoto,"Chef and owner Kazu Fukumoto embarked on an ambitious undertaking by incorporating an izakaya concept (which he defines as a “Japanese gastropub”) with yakitori (binchotan grilled skewers) and Edomae sushi that showcases top-notch fish. The chic saké-centric hangout is a go-to for unconventional eats like house-made tofu, firefly squid, and even grilled chicken butts.",514 Medina,Austin,Texas,,,,http://www.fukumotoaustin.com,http://www.austinchronicle.com/locations/fukumoto-1686735/,http://www.austinchronicle.com/food/first-plates/2016/fukumoto/,LowerEast,512/770-6880
La Cocina de Consuelo,"Starting with a church fundraiser that turned into a famed catering business, the owner/namesake of “Connie’s Kitchen” made her dream come true at 63 with the family-operated Mexican restaurant. Try the homemade tortillas in her famous enchiladas and, arguably, the best breakfast burrito in town.",4516 Burnet Rd.,Austin,Texas,,,,http://www.consueloskitchen.com,http://www.austinchronicle.com/locations/la-cocina-de-consuelo-466951/,http://www.austinchronicle.com/food/first-plates/2016/la-cocina-de-consuelo/,Midtown,512/524-4740
Nasha,"Specializing in Indian soul food, this psychedelic Eastside spot blends traditional dishes like tikka masala and saag paneer with Texas’ culinary traditions. The lunch thali platter is a great deal, and options run aplenty with curries, flavored naan, biryani, samosas, and even tacos. The spicy curried margarita is our favorite summer tipple.",1614 E. Seventh,Austin,Texas,,,,http://www.nashaindia.com,http://www.austinchronicle.com/locations/nasha-1632580/,http://www.austinchronicle.com/food/first-plates/2016/nasha/,LowerEast,512/350-2919
Juniper,"Executive chef and partner Nicholas Yanes’ handsome Northern Italian eatery may be new, but it has already made its mark in the Eastside’s budding fine-dining scene. The kitchen team prepares delicate pasta dishes and innovative small plates that nod to Texas, like risotto with local strawberry, avocado, and mint. Beverage director Nic Vascocu’s refined drink menus are perfectly suited for the serene hideaway setting.",2400 E. Cesar Chavez #304,Austin,Texas,,,,http://www.juniperaustin.com,http://www.austinchronicle.com/locations/juniper-1687885/,http://www.austinchronicle.com/food/first-plates/2016/juniper/,LowerEast,512/220-9421
Royal Jelly,"The still-new, but ever-changing menu at Royal Jelly has us rushing back to try everything before the season dictates its expiration. Merguez lamb sliders with fennel-carrot-mint slaw and goat cheese is our current obsession. The all-Texas beer list ranges from sours to stouts, and the full bar makes a mean Mol’e Fashioned. It’s our favorite neighborhood bar – even if we have to travel from several neighborhoods over to enjoy it.",704 W. St. Johns,Austin,Texas,,,,http://www.royaljellyatx.com,http://www.austinchronicle.com/locations/royal-jelly-1664678/,http://www.austinchronicle.com/food/first-plates/2016/royal-jelly/,Midtown,512/765-4816
VOX Table,"The seasonally changing yet always-gorgeous platings (read: highly ’grammable) have us coming back to VOX on the reg. Chef Joe Anguiano’s albacore tuna tartare scooped with a delicate potato lavash is divine, and smoked Tasmanian trout at brunch had us swimming. Beverage director JR Mocanu is also doing some very innovative things behind the bar, utilizing house-made ingredients like smoked pineapple ginger shrub and tangerine tincture.",1100 S. Lamar #2140,Austin,Texas,,,,http://www.voxtableaustin.com,http://www.austinchronicle.com/locations/vox-table-1635859/,http://www.austinchronicle.com/food/first-plates/2016/vox-table/,SouthLamarandBartonSprings,512/375-4869
Foreign & Domestic,"Housed in a converted gas station, Foreign & Domestic offers a refreshing mix of American classics and more exotic European fare. Although the restaurant’s odd cuts of meat is a conversation piece (tongues of assorted animals often guest-star on its ever-changing menu), it’s the chef’s attention to detail that keeps customers coming back for more.",306 E. 53rd,Austin,Texas,,,,http://www.fndaustin.com,http://www.austinchronicle.com/locations/foreign-and-domestic-1060330/,http://www.austinchronicle.com/food/first-plates/2016/foreign-and-domestic/,Midtown,512/459-1010
